
Player,Team,Pos,ADP
Ja'Marr Chase,CIN,WR,1.0
Bijan Robinson,ATL,RB,2.7
Justin Jefferson,MIN,WR,5.0
Saquon Barkley,PHI,RB,2.7
Jahmyr Gibbs,DET,RB,4.0
CeeDee Lamb,DAL,WR,6.0
Christian McCaffrey,SF,RB,9.3
Puka Nacua,LAR,WR,9.0
Malik Nabers,NYG,WR,10.7
Amon-Ra St. Brown,DET,WR,9.3
Derrick Henry,BAL,RB,9.7
Ashton Jeanty,LV,RB,10.3
Nico Collins,HOU,WR,12.3
Brian Thomas Jr.,JAX,WR,15.0
A.J. Brown,PHI,WR,20.3
Drake London,ATL,WR,19.7
Jonathan Taylor,IND,RB,19.0
De'Von Achane,MIA,RB,14.3
Josh Jacobs,GB,RB,17.0
Brock Bowers,LV,TE,17.7
Trey McBride,ARI,TE,27.3
Kyren Williams,LAR,RB,25.3
Bucky Irving,TB,RB,19.3
Tee Higgins,CIN,WR,32.3
Ladd McConkey,LAC,WR,25.0
Davante Adams,LAR,WR,39.7
Tyreek Hill,MIA,WR,29.7
Josh Allen,BUF,QB,21.3
Lamar Jackson,BAL,QB,23.0
Jayden Daniels,WSH,QB,29.0
Jalen Hurts,PHI,QB,37.7
James Cook,BUF,RB,31.7
Kenneth Walker III,SEA,RB,42.0
Terry McLaurin,WSH,WR,39.3
Mike Evans,TB,WR,39.7
Jaxon Smith-Njigba,SEA,WR,31.3
Chase Brown,CIN,RB,23.7
Chuba Hubbard,CAR,RB,42.7
Joe Burrow,CIN,QB,38.3
George Kittle,SF,TE,37.3
James Conner,ARI,RB,48.0
Alvin Kamara,NO,RB,39.3
Omarion Hampton,LAC,RB,39.3
Joe Mixon,HOU,RB,55.7
Breece Hall,NYJ,RB,31.7
Marvin Harrison Jr.,ARI,WR,40.0
DK Metcalf,PIT,WR,49.3
Xavier Worthy,KC,WR,59.7
Garrett Wilson,NYJ,WR,35.3
Zay Flowers,BAL,WR,59.7
Calvin Ridley,TEN,WR,73.7
D'Andre Swift,CHI,RB,62.3
Courtland Sutton,DEN,WR,52.3
DJ Moore,CHI,WR,48.3
Rashee Rice,KC,WR,50.3
Jameson Williams,DET,WR,62.3
Jaylen Waddle,MIA,WR,73.7
DeVonta Smith,PHI,WR,55.7
George Pickens,DAL,WR,67.0
Rome Odunze,CHI,WR,84.3
Sam LaPorta,DET,TE,53.0
Patrick Mahomes,KC,QB,56.3
Baker Mayfield,TB,QB,66.0
Tetairoa McMillan,CAR,WR,63.7
Jerry Jeudy,CLE,WR,78.0
Travis Hunter,JAX,WR,68.3
David Montgomery,DET,RB,54.3
Kaleb Johnson,PIT,RB,67.3
T.J. Hockenson,MIN,TE,62.3
Aaron Jones Sr.,MIN,RB,65.0
TreVeyon Henderson,NE,RB,62.0
Tony Pollard,TEN,RB,66.7
Chris Godwin,TB,WR,79.3
Matthew Golden,GB,WR,109.7
Cooper Kupp,SEA,WR,95.0
Deebo Samuel,WSH,WR,89.0
Jakobi Meyers,LV,WR,99.3
Chris Olave,NO,WR,76.0
Jordan Addison,MIN,WR,80.0
RJ Harvey,DEN,RB,56.3
Isiah Pacheco,KC,RB,63.0
Brian Robinson Jr.,WSH,RB,81.3
Mark Andrews,BAL,TE,79.0
Travis Kelce,KC,TE,65.3
David Njoku,CLE,TE,92.3
Tucker Kraft,GB,TE,108.0
Bo Nix,DEN,QB,75.0
Kyler Murray,ARI,QB,92.0
Brock Purdy,SF,QB,103.3
Tyrone Tracy Jr.,NYG,RB,83.0
Javonte Williams,DAL,RB,111.0
Rhamondre Stevenson,NE,RB,113.7
Jaylen Warren,PIT,RB,87.3
Cam Skattebo,NYG,RB,102.3
J.K. Dobbins,DEN,RB,116.0
Stefon Diggs,NE,WR,96.0
Keon Coleman,BUF,WR,141.0
Jauan Jennings,SF,WR,99.0
Khalil Shakir,BUF,WR,102.0
Ricky Pearsall,SF,WR,104.7
Jayden Reed,GB,WR,101.0
Darnell Mooney,ATL,WR,144.0
Caleb Williams,CHI,QB,111.0
Justin Herbert,LAC,QB,107.7
Dak Prescott,DAL,QB,108.3
Justin Fields,NYJ,QB,104.7
Michael Pittman Jr.,IND,WR,134.7
Josh Downs,IND,WR,120.0
Rashid Shaheed,NO,WR,161.3
Tre Harris,LAC,WR,150.3
Jayden Higgins,HOU,WR,146.7
Emeka Egbuka,TB,WR,122.7
Evan Engram,DEN,TE,87.3
Tank Bigsby,JAX,RB,128.3
Travis Etienne Jr.,JAX,RB,94.7
Austin Ekeler,WSH,RB,143.3
Tyjae Spears,TEN,RB,129.7
Jerome Ford,CLE,RB,148.3
Jordan Mason,MIN,RB,103.3
Rachaad White,TB,RB,136.3
Drake Maye,NE,QB,128.3
Jordan Love,GB,QB,129.0
Jared Goff,DET,QB,97.7
J.J. McCarthy,MIN,QB,136.7
Colston Loveland,CHI,TE,126.3
Dallas Goedert,PHI,TE,133.0
Kyle Pitts Sr.,ATL,TE,144.7
Dalton Kincaid,BUF,TE,127.7
Tyler Warren,IND,TE,115.7
Quinshon Judkins,CLE,RB,85.3
Dylan Sampson,CLE,RB,167.0
Zach Charbonnet,SEA,RB,108.0
Trey Benson,ARI,RB,154.3
Tyler Allgeier,ATL,RB,164.3
Najee Harris,LAC,RB,106.7
Adam Thielen,CAR,WR,173.7
Xavier Legette,CAR,WR,174.0
Cedric Tillman,CLE,WR,176.5
Hollywood Brown,KC,WR,159.3
Brandon Aiyuk,SF,WR,124.0
Hunter Henry,NE,TE,163.0
Jake Ferguson,DAL,TE,125.7
Tua Tagovailoa,MIA,QB,152.3
Matthew Stafford,LAR,QB,164.7
C.J. Stroud,HOU,QB,130.3
Jaylen Wright,MIA,RB,165.3
Bhayshul Tuten,JAX,RB,150.0
Braelon Allen,NYJ,RB,160.0
Isaac Guerendo,SF,RB,140.7
MarShawn Lloyd,GB,RB,203.0
Ray Davis,BUF,RB,150.7
Quentin Johnston,LAC,WR,176.7
Jack Bech,LV,WR,160.7
Wan'Dale Robinson,NYG,WR,183.0
Marvin Mims Jr.,DEN,WR,156.7
Kyle Williams,NE,WR,166.3
Rashod Bateman,BAL,WR,172.0
Luther Burden III,CHI,WR,150.3
Jalen McMillan,TB,WR,165.7
Roschon Johnson,CHI,RB,176.5
Jaydon Blue,DAL,RB,137.3
Will Shipley,PHI,RB,225.0
Michael Wilson,ARI,WR,247.0
Pat Bryant,DEN,WR,226.0
Darren Waller,MIA,TE,212.3
Chig Okonkwo,TEN,TE,200.0
Jonnu Smith,PIT,TE,113.0
Zach Ertz,WSH,TE,171.3
Texans D/ST,HOU,DST,166.0
Steelers D/ST,PIT,DST,142.0
Broncos D/ST,DEN,DST,129.3
Vikings D/ST,MIN,DST,156.3
Seahawks D/ST,SEA,DST,242.3
Ravens D/ST,BAL,DST,155.3
Patriots D/ST,NE,DST,245.3
Lions D/ST,DET,DST,182.3
Eagles D/ST,PHI,DST,132.7
Bills D/ST,BUF,DST,184.7
Colts D/ST,IND,DST,290.0
Jets D/ST,NYJ,DST,253.7
Jake Bates,DET,K,166.7
Chase McLaughlin,TB,K,198.3
Cameron Dicker,LAC,K,159.0
Brandon Aubrey,DAL,K,146.0
Jason Sanders,MIA,K,237.3
Tyler Bass,BUF,K,227.7
Jake Elliott,PHI,K,237.7
Chris Boswell,PIT,K,182.3
Harrison Butker,KC,K,196.7
Tyler Loop,BAL,K,235.7
Matt Gay,WSH,K,260.0
Christian Kirk,HOU,WR,165.3
Keenan Allen,FA,WR,191.0
Justice Hill,BAL,RB,181.0
Kareem Hunt,KC,RB,173.7
Romeo Doubs,GB,WR,192.5
Trevor Lawrence,JAX,QB,163.0
Cameron Ward,TEN,QB,153.7
Michael Penix Jr.,ATL,QB,159.3
Tyler Lockett,TEN,WR,249.0
DeMario Douglas,NE,WR,191.5
Joshua Palmer,BUF,WR,194.0
Diontae Johnson,CLE,WR,276.0
Elijah Arroyo,SEA,TE,210.5
Mike Gesicki,CIN,TE,185.7
Brandin Cooks,NO,WR,302.0
Darius Slayton,NYG,WR,252.5
DeAndre Hopkins,BAL,WR,160.7
Dont'e Thornton Jr.,LV,WR,238.0
Blake Corum,LAR,RB,184.0
Zack Moss,FA,RB,262.0
Nick Chubb,HOU,RB,140.0
Brenton Strange,JAX,TE,183.3
Cade Otton,TB,TE,171.3
Mason Taylor,NYJ,TE,175.0
Bryce Young,CAR,QB,162.0
Geno Smith,LV,QB,162.0
Anthony Richardson Sr.,IND,QB,173.0
Woody Marks,HOU,RB,216.0
Kendre Miller,NO,RB,272.5
Rico Dowdle,CAR,RB,151.3
Adonai Mitchell,IND,WR,282.5
Raheem Mostert,LV,RB,243.0
Miles Sanders,DAL,RB,205.5
Amari Cooper,FA,WR,249.5
Dyami Brown,JAX,WR,248.5
Tutu Atwell,LAR,WR,284.0
Calvin Austin III,PIT,WR,256.0
Christian Watson,GB,WR,288.0
Giants D/ST,NYG,DST,232.3
Buccaneers D/ST,TB,DST,214.3
Ka'imi Fairbairn,HOU,K,176.3
Joshua Karty,LAR,K,256.5
DJ Giddens,IND,RB,202.5
Trevor Etienne,CAR,RB,255.0
Jarquez Hunter,LAR,RB,207.0
Antonio Gibson,NE,RB,264.5
Jaleel McLaughlin,DEN,RB,249.0
Devin Singletary,NYG,RB,275.5
Ty Johnson,BUF,RB,299.0
Elijah Mitchell,KC,RB,240.5
Kenneth Gainwell,PIT,RB,298.0
