
Player,Team,Pos,ADP
Ja'Marr Chase,CIN,WR,1.0
Bijan Robinson,ATL,RB,2.8
Justin Jefferson,MIN,WR,4.6
Saquon Barkley,PHI,RB,2.8
Jahmyr Gibbs,DET,RB,4.6
CeeDee Lamb,DAL,WR,5.4
Christian McCaffrey,SF,RB,9.4
Puka Nacua,LAR,WR,9.4
Malik Nabers,NYG,WR,9.6
Amon-Ra St. Brown,DET,WR,9.0
Derrick Henry,BAL,RB,10.4
Ashton Jeanty,LV,RB,10.4
Nico Collins,HOU,WR,14.4
Brian Thomas Jr.,JAX,WR,14.6
A.J. Brown,PHI,WR,17.6
Drake London,ATL,WR,19.8
Jonathan Taylor,IND,RB,20.2
De'Von Achane,MIA,RB,12.4
Josh Jacobs,GB,RB,17.2
Brock Bowers,LV,TE,18.6
Trey McBride,ARI,TE,26.6
Kyren Williams,LAR,RB,24.2
Bucky Irving,TB,RB,21.8
Tee Higgins,CIN,WR,30.8
Ladd McConkey,LAC,WR,25.2
Davante Adams,LAR,WR,38.0
Tyreek Hill,MIA,WR,28.6
Josh Allen,BUF,QB,22.8
Lamar Jackson,BAL,QB,22.2
Jayden Daniels,WSH,QB,30.8
Jalen Hurts,PHI,QB,37.8
James Cook,BUF,RB,31.2
Kenneth Walker III,SEA,RB,38.4
Terry McLaurin,WSH,WR,38.4
Mike Evans,TB,WR,40.2
Jaxon Smith-Njigba,SEA,WR,34.0
Chase Brown,CIN,RB,27.4
Chuba Hubbard,CAR,RB,45.2
Joe Burrow,CIN,QB,35.4
George Kittle,SF,TE,38.2
James Conner,ARI,RB,47.6
Alvin Kamara,NO,RB,38.2
Omarion Hampton,LAC,RB,43.2
Joe Mixon,HOU,RB,52.2
Breece Hall,NYJ,RB,33.6
Marvin Harrison Jr.,ARI,WR,41.2
DK Metcalf,PIT,WR,49.6
Xavier Worthy,KC,WR,57.6
Garrett Wilson,NYJ,WR,36.2
Zay Flowers,BAL,WR,61.8
Calvin Ridley,TEN,WR,68.8
D'Andre Swift,CHI,RB,56.8
Courtland Sutton,DEN,WR,53.6
DJ Moore,CHI,WR,48.6
Rashee Rice,KC,WR,49.0
Jameson Williams,DET,WR,61.6
Jaylen Waddle,MIA,WR,74.8
DeVonta Smith,PHI,WR,56.8
George Pickens,DAL,WR,66.2
Rome Odunze,CHI,WR,84.8
Sam LaPorta,DET,TE,51.4
Patrick Mahomes,KC,QB,53.8
Baker Mayfield,TB,QB,65.6
Tetairoa McMillan,CAR,WR,67.0
Jerry Jeudy,CLE,WR,76.0
Travis Hunter,JAX,WR,63.8
David Montgomery,DET,RB,59.4
Kaleb Johnson,PIT,RB,69.6
T.J. Hockenson,MIN,TE,62.4
Aaron Jones Sr.,MIN,RB,64.0
TreVeyon Henderson,NE,RB,61.8
Tony Pollard,TEN,RB,74.4
Chris Godwin,TB,WR,79.8
Matthew Golden,GB,WR,101.2
Cooper Kupp,SEA,WR,88.2
Deebo Samuel,WSH,WR,88.4
Jakobi Meyers,LV,WR,93.8
Chris Olave,NO,WR,80.2
Jordan Addison,MIN,WR,83.4
RJ Harvey,DEN,RB,63.0
Isiah Pacheco,KC,RB,66.8
Brian Robinson Jr.,WSH,RB,83.2
Mark Andrews,BAL,TE,75.4
Travis Kelce,KC,TE,62.6
David Njoku,CLE,TE,88.6
