
Player,Team,Pos,ADP
Ja'Marr Chase,CIN,WR,1.0
Bijan Robinson,ATL,RB,2.5
Justin Jefferson,MIN,WR,5.0
Saquon Barkley,PHI,RB,3.0
Jahmyr Gibbs,DET,RB,4.0
CeeDee Lamb,DAL,WR,5.5
Christian McCaffrey,SF,RB,10.5
Puka Nacua,LAR,WR,8.5
Malik Nabers,NYG,WR,9.0
Amon-Ra St. Brown,DET,WR,9.5
Derrick Henry,BAL,RB,11.5
Ashton Jeanty,LV,RB,9.5
Nico Collins,HOU,WR,13.5
Brian Thomas Jr.,JAX,WR,13.5
A.J. Brown,PHI,WR,21.5
Drake London,ATL,WR,19.0
Jonathan Taylor,IND,RB,22.0
De'Von Achane,MIA,RB,14.0
Josh Jacobs,GB,RB,18.0
Brock Bowers,LV,TE,17.0
Trey McBride,ARI,TE,26.5
Kyren Williams,LAR,RB,26.0
Bucky Irving,TB,RB,17.5
Tee Higgins,CIN,WR,34.0
Ladd McConkey,LAC,WR,24.5
Davante Adams,LAR,WR,40.0
Tyreek Hill,MIA,WR,27.5
Josh Allen,BUF,QB,22.5
Lamar Jackson,BAL,QB,23.5
Jayden Daniels,WSH,QB,30.0
Jalen Hurts,PHI,QB,40.0
James Cook,BUF,RB,33.0
Kenneth Walker III,SEA,RB,42.0
Terry McLaurin,WSH,WR,39.0
Mike Evans,TB,WR,42.0
Jaxon Smith-Njigba,SEA,WR,30.5
Chase Brown,CIN,RB,22.5
Chuba Hubbard,CAR,RB,44.0
Joe Burrow,CIN,QB,37.5
George Kittle,SF,TE,40.5
James Conner,ARI,RB,49.5
Alvin Kamara,NO,RB,38.5
Omarion Hampton,LAC,RB,36.5
Joe Mixon,HOU,RB,56.5
Breece Hall,NYJ,RB,30.0
Marvin Harrison Jr.,ARI,WR,39.0
DK Metcalf,PIT,WR,50.5
Xavier Worthy,KC,WR,58.5
Garrett Wilson,NYJ,WR,34.0
Zay Flowers,BAL,WR,60.5
Calvin Ridley,TEN,WR,71.0
D'Andre Swift,CHI,RB,60.0
Courtland Sutton,DEN,WR,50.0
DJ Moore,CHI,WR,47.0
Rashee Rice,KC,WR,47.5
Jameson Williams,DET,WR,60.5
Jaylen Waddle,MIA,WR,72.5
DeVonta Smith,PHI,WR,55.0
George Pickens,DAL,WR,66.0
Rome Odunze,CHI,WR,81.0
Sam LaPorta,DET,TE,56.0
Patrick Mahomes,KC,QB,59.5
Baker Mayfield,TB,QB,72.0
Tetairoa McMillan,CAR,WR,56.5
Jerry Jeudy,CLE,WR,70.0
Travis Hunter,JAX,WR,68.5
David Montgomery,DET,RB,56.5
Kaleb Johnson,PIT,RB,68.0
T.J. Hockenson,MIN,TE,66.0
Aaron Jones Sr.,MIN,RB,63.0
TreVeyon Henderson,NE,RB,56.0
Tony Pollard,TEN,RB,69.5
Chris Godwin,TB,WR,76.0
Matthew Golden,GB,WR,96.5
Cooper Kupp,SEA,WR,87.5
Deebo Samuel,WSH,WR,83.0
Jakobi Meyers,LV,WR,93.0
Chris Olave,NO,WR,71.5
Jordan Addison,MIN,WR,76.0
RJ Harvey,DEN,RB,54.5
Isiah Pacheco,KC,RB,62.5
Brian Robinson Jr.,WSH,RB,80.0
Mark Andrews,BAL,TE,88.5
Travis Kelce,KC,TE,69.0
David Njoku,CLE,TE,102.5
Tucker Kraft,GB,TE,113.0
Bo Nix,DEN,QB,80.5
Kyler Murray,ARI,QB,92.0
Brock Purdy,SF,QB,112.0
Tyrone Tracy Jr.,NYG,RB,77.5
Javonte Williams,DAL,RB,97.5
Rhamondre Stevenson,NE,RB,107.5
Jaylen Warren,PIT,RB,84.0
Cam Skattebo,NYG,RB,95.5
J.K. Dobbins,DEN,RB,116.5
Stefon Diggs,NE,WR,92.0
Keon Coleman,BUF,WR,127.0
Jauan Jennings,SF,WR,95.5
Khalil Shakir,BUF,WR,91.5
Ricky Pearsall,SF,WR,100.0
Jayden Reed,GB,WR,100.0
Darnell Mooney,ATL,WR,119.0
Caleb Williams,CHI,QB,104.5
Justin Herbert,LAC,QB,112.0
Dak Prescott,DAL,QB,108.5
Justin Fields,NYJ,QB,116.0
Michael Pittman Jr.,IND,WR,114.0
Josh Downs,IND,WR,111.5
Rashid Shaheed,NO,WR,144.0
Tre Harris,LAC,WR,134.5
Jayden Higgins,HOU,WR,124.0
Emeka Egbuka,TB,WR,115.5
Evan Engram,DEN,TE,88.5
Tank Bigsby,JAX,RB,120.0
Travis Etienne Jr.,JAX,RB,88.5
Austin Ekeler,WSH,RB,133.5
Tyjae Spears,TEN,RB,108.0
Jerome Ford,CLE,RB,134.5
Jordan Mason,MIN,RB,106.5
Rachaad White,TB,RB,124.0
Drake Maye,NE,QB,128.0
Jordan Love,GB,QB,129.0
Jared Goff,DET,QB,98.0
J.J. McCarthy,MIN,QB,133.5
Colston Loveland,CHI,TE,113.5
Dallas Goedert,PHI,TE,137.5
Kyle Pitts Sr.,ATL,TE,139.0
Dalton Kincaid,BUF,TE,128.5
Tyler Warren,IND,TE,110.0
Quinshon Judkins,CLE,RB,79.0
Dylan Sampson,CLE,RB,156.5
Zach Charbonnet,SEA,RB,103.5
Trey Benson,ARI,RB,141.0
Tyler Allgeier,ATL,RB,149.5
Najee Harris,LAC,RB,100.0
Adam Thielen,CAR,WR,183.5
Xavier Legette,CAR,WR,175.5
