
Player,Team,Pos,ADP
A.J. Brown,PHI,WR10,21.5
A.J. Dillon,PHI,RB83,235.0
Aaron Jones Sr.,MIN,RB25,62.5
Aaron Rodgers,PIT,QB29,182.0
Adam Thielen,CAR,WR69,183.0
Adonai Mitchell,IND,WR86,266.5
Alec Pierce,IND,WR74,207.5
Alexander Mattison,MIA,RB84,242.0
Alvin Kamara,NO,RB16,38.5
Amari Cooper,,WR78,244.0
Amon-Ra St. Brown,DET,WR6,9.5
Andrei Iosivas,CIN,WR93,278.0
Anthony Richardson Sr.,IND,QB28,181.0
Antonio Gibson,NE,RB78,264.0
Arizona Cardinals,DST,DST23,255.0
Ashton Jeanty,LV,RB4,9.5
Audric Estime,DEN,RB80,265.0
Austin Ekeler,WAS,RB45,133.5
Baker Mayfield,TB,QB7,71.5
Baltimore Ravens,DST,DST5,193.0
Ben Sinnott,WAS,TE42,285.0
Bhayshul Tuten,JAC,RB49,139.5
Bijan Robinson,ATL,RB1,2.5
Blake Corum,LAR,RB61,199.5
Bo Nix,DEN,QB8,79.5
Braelon Allen,NYJ,RB54,156.5
Brandin Cooks,NO,WR99,291.5
Brandon Aiyuk,SF,WR47,111.0
Brandon Aubrey,DAL,K1,189.5
Brandon McManus,GB,K13,234.0
Brashard Smith,KC,RB65,205.0
Breece Hall,NYJ,RB13,30.0
Brenton Strange,JAC,TE21,170.0
Brian Robinson Jr.,WAS,RB30,80.0
Brian Thomas Jr.,JAC,WR8,13.5
Brock Bowers,LV,TE1,17.0
Brock Purdy,SF,QB14,112.0
Bryce Young,CAR,QB23,162.5
Bucky Irving,TB,RB8,17.5
Buffalo Bills,DST,DST8,208.5
C.J. Stroud,HOU,QB18,128.5
Cade Otton,TB,TE23,178.0
Caleb Williams,CHI,QB11,104.0
Calvin Austin III,PIT,WR83,258.0
Calvin Ridley,TEN,WR31,69.0
Cam Skattebo,NYG,RB34,97.5
Cameron Dicker,LAC,K2,202.5
Cameron Ward,TEN,QB24,163.5
Cedric Tillman,CLE,WR67,177.0
CeeDee Lamb,DAL,WR3,5.5
Chase Brown,CIN,RB11,22.5
Chase McLaughlin,TB,K7,243.0
Chicago Bears,DST,DST24,265.0
Chig Okonkwo,TEN,TE26,195.0
Chris Boswell,PIT,K8,249.0
Chris Godwin,TB,WR36,76.5
Chris Olave,NO,WR33,72.0
Christian Kirk,HOU,WR58,148.0
Christian McCaffrey,SF,RB5,10.5
Christian Watson,GB,WR104,289.0
Chuba Hubbard,CAR,RB18,44.0
Cincinnati Bengals,DST,DST25,271.0
Cleveland Browns,DST,DST30,306.0
Cole Kmet,CHI,TE34,254.5
Colston Loveland,CHI,TE12,113.0
Cooper Kupp,SEA,WR39,88.0
Courtland Sutton,DEN,WR22,50.0
Curtis Samuel,BUF,WR110,306.0
D'Andre Swift,CHI,RB24,60.5
DJ Giddens,IND,RB63,204.0
