
Player,Team,Pos,ADP
A.J. Brown,PHI,WR10,21.0
A.J. Dillon,PHI,RB80,235.0
Aaron Jones Sr.,MIN,RB26,64.7
Aaron Rodgers,PIT,QB28,175.0
Adam Thielen,CAR,WR66,173.7
Adonai Mitchell,IND,WR89,277.5
Alec Pierce,IND,WR74,210.5
Alexander Mattison,MIA,RB82,242.0
Alvin Kamara,NO,RB15,39.3
Amari Cooper,,WR81,253.5
Amon-Ra St. Brown,DET,WR5,9.7
Andrei Iosivas,CIN,WR86,270.5
Anthony Richardson Sr.,IND,QB29,175.0
Antonio Gibson,NE,RB77,225.0
Arizona Cardinals,DST,DST22,237.5
Ashton Jeanty,LV,RB6,10.7
Audric Estime,DEN,RB84,279.0
Austin Ekeler,WAS,RB47,142.7
Baker Mayfield,TB,QB7,65.3
Baltimore Ravens,DST,DST4,155.3
Ben Sinnott,WAS,TE41,286.0
Bhayshul Tuten,JAC,RB52,153.3
Bijan Robinson,ATL,RB2,2.7
Blake Corum,LAR,RB58,190.0
Bo Nix,DEN,QB8,74.7
Braelon Allen,NYJ,RB53,158.7
Brandin Cooks,NO,WR107,305.5
Brandon Aiyuk,SF,WR49,125.3
Brandon Aubrey,DAL,K1,132.0
Brandon McManus,GB,K14,209.5
Brashard Smith,KC,RB66,208.5
Breece Hall,NYJ,RB13,31.7
Brenton Strange,JAC,TE22,183.3
Brian Robinson Jr.,WAS,RB29,81.0
Brian Thomas Jr.,JAC,WR8,14.7
Brock Bowers,LV,TE1,17.7
Brock Purdy,SF,QB11,101.7
Bryce Young,CAR,QB24,163.0
Bucky Irving,TB,RB10,19.7
Buffalo Bills,DST,DST9,188.0
C.J. Stroud,HOU,QB18,130.0
Cade Otton,TB,TE21,175.3
Caleb Williams,CHI,QB15,109.3
Calvin Austin III,PIT,WR82,254.5
Calvin Ridley,TEN,WR31,71.3
Cam Skattebo,NYG,RB34,102.0
Cameron Dicker,LAC,K2,144.7
Cameron Ward,TEN,QB20,153.3
Cedric Tillman,CLE,WR68,177.5
CeeDee Lamb,DAL,WR3,5.7
Chase Brown,CIN,RB11,23.7
Chase McLaughlin,TB,K7,205.7
Chicago Bears,DST,DST19,224.5
Chig Okonkwo,TEN,TE24,195.0
Chris Boswell,PIT,K5,180.7
Chris Godwin,TB,WR35,80.3
Chris Olave,NO,WR33,75.3
Christian Kirk,HOU,WR61,166.0
Christian McCaffrey,SF,RB4,9.3
Christian Watson,GB,WR105,290.0
Chuba Hubbard,CAR,RB18,42.3
Cincinnati Bengals,DST,DST23,238.0
Cleveland Browns,DST,DST25,265.5
Cole Kmet,CHI,TE36,270.5
