
Player,Team,Pos,ADP
A.J. Brown,PHI,WR9,18.0
A.J. Dillon,PHI,RB81,285.7
AJ Barner,SEA,TE42,286.5
AJ Henning,MIA,WR327,886.0
Aaron Jones Sr.,MIN,RB24,64.0
Aaron Rodgers,PIT,QB29,213.3
Aaron Shampklin,,RB116,390.0
Adam Thielen,CAR,WR62,183.6
Adam Trautman,DEN,TE61,426.5
Adonai Mitchell,IND,WR108,303.5
Adrian Martinez,NYJ,QB118,803.0
Aidan O'Connell,LV,QB55,389.0
Ainias Smith,PHI,WR127,392.0
Ajou Ajou,IND,WR318,872.0
Alec Ingold,MIA,RB194,758.0
Alec Pierce,IND,WR80,239.7
Alex Bachman,LV,WR276,763.0
Alex Hale,,K61,697.0
Alexander Mattison,MIA,RB84,256.0
Allen Lazard,NYJ,WR134,302.0
Allen Robinson,II,WR138,308.0
Alvin Kamara,NO,RB15,38.0
Amar Johnson,GB,RB205,868.0
Amari Cooper,,WR114,343.0
Ameer Abdullah,SF,RB193,745.0
Amon-Ra St. Brown,DET,WR5,9.6
Anders Carlson,,K51,449.0
Andre Szmyt,CLE,K58,512.0
Andrei Iosivas,CIN,WR81,256.0
Andrew Armstrong,MIA,WR326,884.0
Andrew Beck,NYJ,TE137,760.0
Andy Borregales,NE,K27,257.0
Andy Dalton,CAR,QB50,369.0
Andy Isabella,,WR178,608.5
Anthony Brown Jr.,,QB74,411.0
Anthony Gould,IND,WR193,490.0
Anthony Miller,BAL,WR209,558.0
Anthony Richardson Sr.,IND,QB25,209.6
Anthony Torres,LAR,TE166,882.0
Anthony Tyus III,SEA,RB189,713.0
Antonio Gibson,NE,RB85,269.0
Arian Smith,NYJ,WR194,616.5
Arizona Cardinals,DST,DST21,203.8
Armani Rogers,,TE84,497.0
Ashton Dulin,IND,WR214,572.0
Ashton Jeanty,LV,RB6,10.4
Atlanta Falcons,DST,DST31,225.0
Audric Estime,DEN,RB71,298.5
Austin Ekeler,WAS,RB43,140.0
Austin Hooper,NE,TE49,324.0
Austin Reed,CHI,QB104,686.0
Austin Trammell,JAC,WR284,784.0
Avery Williams,PHI,RB126,507.0
Bailey Zappe,KC,QB116,793.0
Baker Mayfield,TB,QB7,63.4
Baltimore Ravens,DST,DST4,131.6
Baylor Cupp,BAL,TE67,613.5
Beaux Collins,NYG,WR268,738.0
Ben DiNucci,,QB56,284.0
Ben Sauls,PIT,K47,433.0
Ben Sims,GB,TE151,807.0
Ben Sinnott,WAS,TE52,372.0
Ben Skowronek,PIT,WR184,483.5
Ben VanSumeren,PHI,LB1,571.0
Ben Wooldridge,NE,QB110,734.0
Ben Yurosek,MIN,TE132,730.0
Bhayshul Tuten,JAC,RB51,166.6
Bijan Robinson,ATL,RB1,2.6
Blake Corum,LAR,RB62,222.8
Blake Grupe,NO,K25,249.0
Blake Watson,DEN,RB183,688.0
Blake Whiteheart,CLE,TE113,657.0
Bo Melton,GB,WR234,618.0
Bo Nix,DEN,QB8,73.6
Brady Cook,NYJ,QB111,739.0
Brady Russell,SEA,TE74,560.5
Braelon Allen,NYJ,RB54,182.0
Brandin Cooks,NO,WR140,312.0
Brandon Aiyuk,SF,WR48,123.4
Brandon Allen,TEN,QB72,446.0
Brandon Aubrey,DAL,K1,104.8
Brandon Johnson,PIT,WR238,622.0
Brandon McManus,GB,K16,207.0
Brashard Smith,KC,RB77,276.0
Braxton Berrios,HOU,WR272,752.0
Brayden Narveson,,K50,443.0
Brayden Willis,SF,TE111,644.0
Braylon Sanders,WAS,WR290,801.0
Breece Hall,NYJ,RB14,33.2
Brenden Bates,CLE,TE155,828.0
Brenden Rice,LAC,WR255,682.0
Brennan Presley,LAR,WR324,881.0
Brenton Strange,JAC,TE23,207.8
Brett Maher,,K56,483.0
Brevin Jordan,HOU,TE81,486.0
Brevyn Spann-Ford,DAL,TE156,830.0
Brian Robinson Jr.,WAS,RB29,82.4
Brian Thomas Jr.,JAC,WR8,15.0
Britain Covey,LAR,WR233,617.0
British Brooks,HOU,RB202,843.0
Brock Bowers,LV,TE1,19.6
Brock Lampe,NE,RB209,889.0
Brock Purdy,SF,QB11,104.0
Brock Wright,DET,TE47,321.5
Bryce Oliver,TEN,WR256,691.0
Bryce Young,CAR,QB27,188.8
Bub Means,NO,WR192,504.5
Bucky Irving,TB,RB10,21.6
Buffalo Bills,DST,DST5,136.0
C.J. Ham,MIN,RB107,424.5
C.J. Stroud,HOU,QB17,137.8
Cade Otton,TB,TE24,205.8
Cade Stover,HOU,TE89,520.0
Cade York,,K43,430.5
Caden Davis,BUF,K39,396.0
Caden Prieskorn,DEN,TE86,507.0
Cairo Santos,CHI,K22,200.0
Caleb Lohner,DEN,TE126,710.0
Caleb Williams,CHI,QB15,115.8
Calvin Austin III,PIT,WR79,237.0
Calvin Ridley,TEN,WR31,68.8
Cam Akers,NO,RB119,450.0
Cam Camper,JAC,WR321,876.0
Cam Grandy,CIN,TE121,687.0
Cam Little,JAC,K24,242.5
Cam Miller,LV,QB108,726.0
Cam Skattebo,NYG,RB32,93.8
Cameron Dicker,LAC,K2,123.0
Cameron Latu,PHI,TE112,645.0
Cameron Ward,TEN,QB22,175.8
Carlos Washington Jr.,ATL,RB175,653.0
Carolina Panthers,DST,DST32,250.5
Carson Steele,KC,RB93,365.0
Carson Strong,,QB79,434.0
Carson Wentz,,QB54,388.0
Carter Bradley,SF,QB122,834.0
Casey Washington,ATL,WR297,812.0
Cedric Tillman,CLE,WR68,211.8
Cedrick Wilson Jr.,NO,WR210,562.0
CeeDee Lamb,DAL,WR3,5.0
Chad Ryland,ARI,K30,299.0
Charlie Jones,CIN,WR170,529.5
Charlie Kolar,BAL,TE73,475.0
Charlie Smyth,NO,K53,457.0
Charlie Woerner,ATL,TE78,483.0
Chase Brown,CIN,RB12,27.6
Chase Edmonds,,RB146,486.0
Chase McLaughlin,TB,K4,144.2
Chicago Bears,DST,DST19,189.5
Chig Okonkwo,TEN,TE26,212.0
Chimere Dike,TEN,WR316,869.0
Chris Blair,ATL,WR281,773.0
Chris Boswell,PIT,K5,151.8
Chris Brooks,GB,RB131,427.0
Chris Collier,LV,RB200,820.0
Chris Godwin,TB,WR35,80.8
Chris Moore,WAS,WR206,547.0
Chris Oladokun,KC,QB117,795.0
Chris Olave,NO,WR34,80.6
Chris Rodriguez Jr.,WAS,RB154,511.0
Chris Tyree,NO,RB192,736.0
Christian Kirk,HOU,WR60,170.8
Christian McCaffrey,SF,RB4,9.4
Christian Watson,GB,WR107,303.0
Chuba Hubbard,CAR,RB18,45.2
Cincinnati Bengals,DST,DST23,196.3
Cleveland Browns,DST,DST24,204.3
Clyde Edwards-Helaire,NO,RB111,382.0
Cody Schrader,LAR,RB184,694.0
Cody White,SEA,WR221,587.0
Colby Parkinson,LAR,TE70,444.0
Cole Fotheringham,NE,TE68,436.0
Cole Kmet,CHI,TE31,240.7
Coleman Owen,IND,WR319,873.0
Collin Johnson,LV,WR277,765.0
Colson Yankoff,WAS,TE124,695.0
Colston Loveland,CHI,TE11,115.0
Connor Heyward,PIT,TE56,394.0
