
Player,Team,Pos,Pass_Yds,Pass_TD,Int,Rush_Yds,Rush_TD,Rec,Rec_Yds,Rec_TD
Lamar Jackson,BAL,qb,,32.5,8.3,846.8,4.1,0.0,0.0,0.0
Josh Allen,BUF,qb,,29.0,10.5,572.2,10.7,0.0,0.0,0.0
Jalen Hurts,PHI,qb,,23.5,8.9,633.2,12.6,0.0,0.0,0.0
Jayden Daniels,WSH,qb,,26.8,10.7,747.0,5.5,0.0,0.0,0.0
Joe Burrow,CIN,qb,,36.3,10.5,180.2,2.1,0.0,0.0,0.0
Patrick Mahomes II,,qb,,30.0,12.1,358.6,2.9,0.0,0.0,0.0
Baker Mayfield,TB,qb,,33.1,14.7,288.0,2.6,0.0,0.0,0.0
Kyler Murray,ARI,qb,,24.5,11.2,551.4,5.1,0.0,0.0,0.0
Brock Purdy,SF,qb,,27.2,12.7,276.8,3.4,0.0,0.0,0.0
Bo Nix,DEN,qb,,27.2,12.1,421.6,3.5,0.0,0.0,0.0
Justin Fields,NYJ,qb,,19.9,11.4,705.6,5.9,0.0,0.0,0.0
Jared Goff,DET,qb,,31.1,11.5,68.9,0.6,0.0,0.0,0.0
J.J. McCarthy,MIN,qb,,28.3,14.6,264.1,1.8,0.0,0.0,0.0
Dak Prescott,DAL,qb,,27.6,12.0,175.8,1.9,0.0,0.0,0.0
Justin Herbert,LAC,qb,,25.6,8.4,272.7,2.6,0.0,0.0,0.0
Caleb Williams,CHI,qb,,23.6,10.3,472.6,2.4,0.0,0.0,0.0
Jordan Love,GB,qb,,27.9,12.2,163.6,1.9,0.0,0.0,0.0
C.J. Stroud,HOU,qb,,24.8,10.8,258.2,1.7,0.0,0.0,0.0
Trevor Lawrence,JAX,qb,,23.0,13.2,251.7,3.0,0.0,0.0,0.0
Drake Maye,NE,qb,,21.6,12.9,475.5,3.0,0.0,0.0,0.0
Matthew Stafford,LAR,qb,,26.4,11.0,71.2,0.7,0.0,0.0,0.0
Michael Penix Jr.,ATL,qb,,23.6,13.2,196.5,2.1,0.0,0.0,0.0
Geno Smith,LV,qb,,21.9,13.8,236.1,1.7,0.0,0.0,0.0
Sam Darnold,SEA,qb,,23.4,14.5,205.1,1.8,0.0,0.0,0.0
Tua Tagovailoa,MIA,qb,,25.9,12.0,80.5,0.5,0.0,0.0,0.0
Bryce Young,CAR,qb,,20.9,12.2,296.6,3.3,0.0,0.0,0.0
Cameron Ward,TEN,qb,,21.6,13.9,330.2,2.3,0.0,0.0,0.0
Aaron Rodgers,PIT,qb,,22.8,9.7,80.6,0.4,0.0,0.0,0.0
Anthony Richardson Sr.,IND,qb,,13.7,10.8,492.4,4.8,0.0,0.0,0.0
Russell Wilson,NYG,qb,,15.7,8.4,210.9,1.8,0.0,0.0,0.0
Tyler Shough,NO,qb,,15.5,11.2,218.2,1.7,0.0,0.0,0.0
Joe Flacco,CLE,qb,,11.6,8.7,27.7,0.3,0.0,0.0,0.0
Daniel Jones,IND,qb,,7.6,5.2,196.6,1.6,0.0,0.0,0.0
Kenny Pickett,CLE,qb,,5.2,4.6,44.3,0.8,0.0,0.0,0.0
Spencer Rattler,NO,qb,,4.9,3.9,108.3,0.4,0.0,0.0,0.0
Jaxson Dart,NYG,qb,815.8,4.6,3.4,67.3,0.7,0.0,0.0,0.0
Dillon Gabriel,CLE,qb,754.2,3.6,2.5,43.1,0.4,0.0,0.0,0.0
Shedeur Sanders,CLE,qb,587.2,2.8,2.1,36.5,0.2,0.0,0.0,0.0
Jalen Milroe,SEA,qb,172.5,1.0,1.0,113.5,1.0,0.0,0.0,0.0
Mason Rudolph,PIT,qb,151.7,0.9,0.7,67.9,0.5,0.0,0.0,0.0
Malik Willis,GB,qb,179.9,1.1,0.3,35.5,0.5,0.0,0.0,0.0
Jameis Winston,NYG,qb,255.3,1.5,1.3,10.5,0.0,0.0,0.0,0.0
Marcus Mariota,WSH,qb,172.3,1.1,0.3,22.3,0.0,0.0,0.0,0.0
Mac Jones,SF,qb,197.0,1.1,0.8,9.4,0.0,0.0,0.0,0.0
Joshua Dobbs,NE,qb,175.1,1.1,0.8,15.7,0.0,0.0,0.0,0.0
Zach Wilson,MIA,qb,165.2,1.1,0.4,12.2,0.0,0.0,0.0,0.0
Jimmy Garoppolo,LAR,qb,173.7,1.1,0.5,6.1,0.0,0.0,0.0,0.0
Gardner Minshew II,,qb,172.8,1.3,0.5,9.7,0.0,0.0,0.0,0.0
Tyrod Taylor,NYJ,qb,147.4,0.7,0.9,21.0,0.2,0.0,0.0,0.0
Jake Browning,CIN,qb,150.1,1.1,0.4,11.2,0.0,0.0,0.0,0.0
Aidan O'Connell,LV,qb,186.4,1.1,0.5,6.3,0.0,0.0,0.0,0.0
Jacoby Brissett,ARI,qb,166.3,0.8,0.5,11.9,0.0,0.0,0.0,0.0
Nick Mullens,JAX,qb,144.8,1.1,0.7,8.7,0.0,0.0,0.0,0.0
Joe Milton III,DAL,qb,138.1,0.8,0.4,15.7,0.0,0.0,0.0,0.0
Hendon Hooker,DET,qb,141.6,0.7,0.4,9.4,0.0,0.0,0.0,0.0
Mitchell Trubisky,BUF,qb,132.5,0.7,0.4,10.5,0.0,0.0,0.0,0.0
Jarrett Stidham,DEN,qb,129.2,0.8,0.4,10.2,0.0,0.0,0.0,0.0
Cooper Rush,BAL,qb,134.9,0.8,0.4,13.4,0.0,0.0,0.0,0.0
Trey Lance,LAC,qb,110.3,0.7,0.3,18.7,0.0,0.0,0.0,0.0
Davis Mills,HOU,qb,128.7,0.7,0.4,8.6,0.0,0.0,0.0,0.0
Drew Lock,SEA,qb,132.2,0.7,0.7,8.5,0.0,0.0,0.0,0.0
Tanner McKee,PHI,qb,124.8,0.7,0.4,8.0,0.0,0.0,0.0,0.0
Tyson Bagent,CHI,qb,111.7,0.7,0.3,14.3,0.0,0.0,0.0,0.0
Andy Dalton,CAR,qb,124.8,0.7,0.7,9.0,0.0,0.0,0.0,0.0
Brandon Allen,TEN,qb,125.7,0.7,0.7,4.0,0.0,0.0,0.0,0.0
Sam Howell,MIN,qb,105.8,0.6,0.6,11.9,0.0,0.0,0.0,0.0
Kirk Cousins,ATL,qb,129.9,0.7,0.6,6.3,0.0,0.0,0.0,0.0
Kyle Trask,TB,qb,120.2,0.7,0.6,4.5,0.0,0.0,0.0,0.0
Taylor Heinicke,LAC,qb,116.4,0.6,0.6,5.0,0.0,0.0,0.0,0.0
Deshaun Watson,CLE,qb,99.0,0.5,0.5,12.0,0.0,0.0,0.0,0.0
Case Keenum,CHI,qb,91.9,0.6,0.1,2.4,0.0,0.0,0.0,0.0
Stetson Bennett IV,,qb,96.0,0.5,0.5,9.0,0.0,0.0,0.0,0.0
Jake Haener,NO,qb,68.5,0.5,0.5,11.5,0.0,0.0,0.0,0.0
Josh Johnson,WSH,qb,64.5,0.5,0.0,4.0,0.0,0.0,0.0,0.0
Quinn Ewers,MIA,qb,63.0,0.5,0.0,4.5,0.0,0.0,0.0,0.0
Cam Miller,LV,qb,62.0,0.5,0.0,3.5,0.0,0.0,0.0,0.0
Graham Mertz,HOU,qb,60.0,0.5,0.0,4.0,0.0,0.0,0.0,0.0
Kyle McCord,PHI,qb,51.5,0.5,0.0,7.0,0.0,0.0,0.0,0.0
Will Howard,PIT,qb,57.0,0.5,0.0,4.0,0.0,0.0,0.0,0.0
Riley Leonard,IND,qb,51.5,0.5,0.5,5.0,0.0,0.0,0.0,0.0
Clayton Tune,ARI,qb,39.5,0.5,0.0,3.0,0.0,0.0,0.0,0.0
Tyler Huntley,CLE,qb,47.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0
Kyle Allen,DET,qb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike White,BUF,qb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brett Rypien,MIN,qb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Easton Stick,ATL,qb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tim Boyle,TEN,qb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Teddy Bridgewater,TB,qb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Wolford,JAX,qb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Ehlinger,DEN,qb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Desmond Ridder,CIN,qb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bailey Zappe,KC,qb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skylar Thompson,PIT,qb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Oladokun,KC,qb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shane Buechele,BUF,qb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sean Clifford,GB,qb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorian Thompson-Robinson,PHI,qb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tommy DeVito,NYG,qb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devin Leary,BAL,qb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Pratt,TB,qb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kurtis Rourke,SF,qb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saquon Barkley,PHI,RB,,,,,10.8,41.4,316.0,2.2
Bijan Robinson,ATL,RB,,,,,11.3,56.7,429.1,2.2
Jahmyr Gibbs,DET,RB,,,,,11.7,56.6,502.1,2.8
Derrick Henry,BAL,RB,,,,,13.4,16.3,153.7,0.9
Christian McCaffrey,SF,RB,,,,,7.9,64.7,560.4,3.5
Josh Jacobs,GB,RB,,,,,10.9,37.5,311.0,1.5
De'Von Achane,MIA,RB,,,,,7.6,69.1,513.6,4.1
Ashton Jeanty,LV,RB,,,,,8.9,45.2,356.6,1.9
Jonathan Taylor,IND,RB,,,,,9.5,25.6,191.9,1.1
Kyren Williams,LAR,RB,,,,,11.2,33.7,213.5,1.7
Bucky Irving,TB,RB,,,,,8.3,44.4,344.3,1.7
James Cook,BUF,RB,,,,,9.7,31.3,258.5,1.9
Chase Brown,CIN,RB,,,,984.4,7.8,54.0,377.4,2.7
James Conner,ARI,RB,,,,993.3,8.0,41.2,314.8,1.6
Breece Hall,NYJ,RB,,,,990.0,6.0,51.5,411.8,2.2
Omarion Hampton,LAC,RB,,,,958.5,8.3,38.5,292.8,1.7
Kenneth Walker III,SEA,RB,,,,951.8,8.0,43.6,312.1,1.3
Chuba Hubbard,CAR,RB,,,,,7.5,37.5,227.5,1.1
Alvin Kamara,NO,RB,,,,887.7,5.1,62.5,470.7,2.0
Joe Mixon,HOU,RB,,,,878.3,8.0,34.7,272.1,1.4
D'Andre Swift,CHI,RB,,,,967.8,6.1,36.9,286.0,1.2
David Montgomery,DET,RB,,,,821.1,9.2,30.3,249.1,0.9
Aaron Jones Sr.,MIN,RB,,,,909.9,4.6,44.9,337.9,2.3
Tony Pollard,TEN,RB,,,,957.8,5.2,38.4,245.0,0.9
TreVeyon Henderson,NE,RB,,,,898.3,5.5,31.7,245.2,1.3
Kaleb Johnson,PIT,RB,,,,887.8,6.4,25.9,197.4,1.1
Brian Robinson Jr.,WSH,RB,,,,832.1,7.2,25.3,195.2,1.1
Isiah Pacheco,KC,RB,,,,841.7,5.7,33.3,230.2,1.1
Tyrone Tracy Jr.,NYG,RB,,,,795.4,5.0,35.4,268.5,1.2
RJ Harvey,DEN,RB,,,,727.6,4.9,32.7,251.3,1.6
J.K. Dobbins,DEN,RB,,,,693.6,5.3,30.0,193.2,1.2
Jaylen Warren,PIT,RB,,,,628.8,3.5,45.5,331.9,1.0
Javonte Williams,DAL,RB,,,,659.5,4.3,36.8,236.9,1.1
Quinshon Judkins,CLE,RB,,,,725.6,4.6,22.9,171.3,0.9
Travis Etienne Jr.,JAX,RB,,,,600.8,3.8,35.7,263.9,1.1
Rhamondre Stevenson,NE,RB,,,,637.2,4.8,27.6,173.9,1.1
Najee Harris,LAC,RB,,,,605.4,5.3,23.0,166.4,0.8
Austin Ekeler,WSH,RB,,,,431.6,4.2,43.6,357.3,1.6
Jordan Mason,MIN,RB,,,,714.9,4.3,16.3,120.8,0.5
Rachaad White,TB,RB,,,,489.9,3.0,39.8,299.9,2.2
Zach Charbonnet,SEA,RB,,,,535.0,4.2,32.8,240.8,0.9
Tank Bigsby,JAX,RB,,,,645.8,4.8,16.0,116.4,0.4
Tyjae Spears,TEN,RB,,,,497.7,3.7,32.8,245.2,1.0
Cam Skattebo,NYG,RB,,,,546.1,3.6,25.2,194.4,0.9
Jerome Ford,CLE,RB,,,,538.6,2.9,29.8,204.1,0.9
Trey Benson,ARI,RB,,,,575.2,3.7,13.9,104.7,0.5
Dylan Sampson,CLE,RB,,,,500.5,2.8,25.1,193.1,1.0
Ray Davis,BUF,RB,,,,499.9,3.5,12.4,105.4,1.0
Nick Chubb,HOU,RB,,,,502.1,3.9,9.9,75.4,0.6
Tyler Allgeier,ATL,RB,,,,541.1,3.2,12.6,92.4,0.3
Isaac Guerendo,SF,RB,,,,494.8,3.9,11.4,98.6,0.4
Jaydon Blue,DAL,RB,,,,459.9,2.8,18.1,142.7,0.7
Rico Dowdle,CAR,RB,,,,452.9,2.6,20.6,141.4,1.1
Bhayshul Tuten,JAX,RB,,,,425.8,3.0,18.0,145.4,0.9
Roschon Johnson,CHI,RB,,,,346.9,5.0,19.0,123.9,0.5
MarShawn Lloyd,GB,RB,,,,428.0,3.3,14.0,112.4,0.7
Jaylen Wright,MIA,RB,,,,471.6,2.8,13.1,90.5,0.5
Braelon Allen,NYJ,RB,,,,372.6,2.5,17.3,130.9,0.8
Miles Sanders,DAL,RB,,,,404.8,2.3,12.0,77.6,0.6
Kareem Hunt,KC,RB,,,,296.8,3.1,16.7,114.0,0.7
Kendre Miller,NO,RB,,,,360.7,3.3,10.3,76.2,0.2
Raheem Mostert,LV,RB,,,,297.9,2.6,17.5,128.0,0.6
Blake Corum,LAR,RB,,,,338.7,2.3,12.0,87.4,0.6
Justice Hill,BAL,RB,,,,207.6,1.2,27.1,221.4,1.7
Khalil Herbert,IND,RB,,,,348.0,2.3,8.6,56.3,0.2
Samaje Perine,CIN,RB,,,,200.5,1.5,21.2,195.6,1.1
Ty Johnson,BUF,RB,,,,208.2,1.0,15.1,165.0,1.4
Keaton Mitchell,BAL,RB,,,,280.4,1.5,8.3,78.6,0.5
Jarquez Hunter,LAR,RB,,,,262.0,1.9,8.5,68.7,0.4
Antonio Gibson,NE,RB,,,,209.8,1.0,16.5,131.1,0.8
Elijah Mitchell,KC,RB,,,,243.1,1.9,9.4,55.4,0.5
A.J. Dillon,,RB,,,,221.8,1.8,5.5,43.7,0.1
Tahj Brooks,CIN,RB,,,,225.4,1.9,6.7,48.2,0.1
Trevor Etienne,CAR,RB,,,,195.3,1.5,10.4,82.5,0.4
Woody Marks,HOU,RB,,,,162.8,1.0,14.5,106.0,0.8
Devin Singletary,NYG,RB,,,,215.7,1.5,9.0,61.9,0.1
Will Shipley,PHI,RB,,,,199.4,1.3,7.5,55.1,0.4
Kyle Monangai,CHI,RB,,,,213.0,1.8,4.4,31.6,0.0
Alexander Mattison,MIA,RB,,,,205.2,1.2,7.8,53.0,0.2
Jaleel McLaughlin,DEN,RB,,,,142.8,0.8,18.2,110.3,0.9
Emanuel Wilson,GB,RB,,,,202.4,1.4,6.4,45.7,0.2
Devin Neal,NO,RB,,,,192.3,1.3,6.6,48.8,0.4
Kenneth Gainwell,PIT,RB,,,,180.9,1.2,10.0,70.2,0.4
Zamir White,LV,RB,,,,186.8,1.1,8.8,62.5,0.3
Sean Tucker,TB,RB,,,,184.6,1.2,6.8,52.7,0.2
Isaiah Davis,NYJ,RB,,,,170.0,1.0,6.4,46.7,0.2
Jordan James,SF,RB,,,,169.8,1.3,4.0,34.9,0.0
